
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
139  0.03109  3.31710e-01 |140  0.01493 -3.18327e-01 |141 -0.02772  2.65559e-01
142 -0.01548  6.90606e-01 |143 -0.00530  1.55322e-01 |144 -0.00038  9.72688e-03

 - final statistics:
144 variables; iteration 1; function evaluation 1
Function value 7.2674e+03; maximum gradient component mag 9.7421e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42197 -2.24748e+00 |  2  0.37113  9.74209e+00 |  3 -0.12592 -9.12045e+00
  4 -0.01315  5.29873e+00 |  5 -0.70913 -1.57850e+00 |  6 -0.60422  3.76757e+00
  7  0.37612  5.92256e-01 |  8 -0.18539 -2.17613e+00 |  9  0.03380  6.63195e+00
 10 -0.60951  2.63853e+00 | 11 -0.62337 -2.03564e+00 | 12 -0.11335 -4.37446e+00
 13 -0.00974  8.37936e-02 | 14 -0.00996  8.37364e-02 | 15 -0.01018  8.35975e-02
 16 -0.01039  8.33923e-02 | 17 -0.01060  8.31648e-02 | 18 -0.01081  8.29271e-02
 19 -0.01101  8.27090e-02 | 20 -0.01119  8.25580e-02 | 21 -0.01137  8.25310e-02
 22 -0.01154  8.26971e-02 | 23 -0.01170  8.31358e-02 | 24 -0.01183  8.39342e-02
 25 -0.01196  8.51786e-02 | 26 -0.01206  8.69440e-02 | 27 -0.01215  8.92921e-02
 28 -0.01221  9.22854e-02 | 29 -0.01225  9.60191e-02 | 30 -0.01226  1.00634e-01
 31 -0.01225  1.06318e-01 | 32 -0.01221  1.13247e-01 | 33 -0.01214  1.21581e-01
 34 -0.01203  1.31443e-01 | 35 -0.01189  1.42898e-01 | 36 -0.01171  1.55952e-01
 37 -0.01149  1.70551e-01 | 38 -0.01123  1.86621e-01 | 39 -0.01092  2.04053e-01
 40 -0.01058  2.22585e-01 | 41 -0.01019  2.42295e-01 | 42 -0.00977  2.62893e-01
 43 -0.00931  2.84071e-01 | 44 -0.00882  3.05449e-01 | 45 -0.00831  3.26550e-01
 46 -0.00778  3.46870e-01 | 47 -0.00726  3.65989e-01 | 48 -0.00674  3.83477e-01
 49 -0.00624  3.98978e-01 | 50 -0.00578  4.12157e-01 | 51 -0.00536  4.22651e-01
 52 -0.00499  4.30070e-01 | 53 -0.00469  4.34235e-01 | 54 -0.00445  4.34928e-01
 55 -0.00425  4.31804e-01 | 56 -0.00410  4.24520e-01 | 57 -0.00396  4.12762e-01
 58 -0.00381  3.96223e-01 | 59 -0.00363  3.75249e-01 | 60 -0.00338  3.50752e-01
 61 -0.00302  3.24755e-01 | 62 -0.00251  3.00386e-01 | 63 -0.00179  2.82425e-01
 64 -0.00080  2.77063e-01 | 65  0.00052  2.91126e-01 | 66  0.00222  3.30493e-01
 67  0.00434  3.96682e-01 | 68  0.00688  4.82396e-01 | 69  0.00976  5.65880e-01
